,0
0,"'Revolution' in India and Nepal
"
1,"Rio de Janeiro is also going through a budget problem: salaries of public service employee has been steadily decreasing. 
"
2,"In a post shared thousands of times, one Twitter user summed up the discussion of the word ""shithole"" by pointing what has largely been ignored &#8212; the overt racism of Trump's remark: 
"
3,"On determination: 
"
4,"On July 16, 2018, netizens around the world marked the thirtieth anniversary of the release of Akira, a groundbreaking film that revolutionized and influenced how animation forever. To mark the occasion, fans from Japan and beyond shared their favorite scenes from the movie &#8212; and why, thirty years on, Akira remains so fascinating to so many people. 
"
5,"Wall of a school in Guarulhos. Photo by Jéssica Souza/Mural Agency 
"
6,"Graffiti painted next to a cultural center in the north of the city. The artist is known as Monster Ectoplasma. 
"
7,"Do you know any other accounts like this from other countries? Share them with us! 
"
8,"Chacha the Chimp Escaped a Zoo in Japan. 
"
9,"In this moment, Shreesha seems really happy. 
"
10,"The coming together of the community for a bountiful catch is a moment to watch. 
"
11,"Madagascar came up as the world's poorest country in one of the poverty indices published by the World Bank (and reported by media outlets such as Radio France Internationale).
"
12,"The Horn of Africa was also hit by a severe drought in 2011-2012 which led to dire food insecurity that threatened the livelihoods of over 10 million people.
"
13,"People of all walks of life are coming together to clean this holy river as part of an ongoing environmental campaign.
"
14,"They shared the photos online with the hashtag to challenge the idea that ""fair"" (as seen in the name of the popular Fair and Lovely skin-lightening cream) means more beautiful. 
"
15,"Nepal has represented a land of mysticism to travellers from abroad. Nepal’s high Himalayas with the world’s highest mountains, the mid-hills and valleys abundant with rare rituals and traditions, and the southern plains with dense forest and wild animals have always attracted curious visitors to this landlocked country. 
"
16,"Fears over the spread of the disease and its threat to children still in utero have resulted in several countries issuing travel advisories, which could in turn have a serious negative effect on Caribbean tourism, the economic mainstay of several regional territories. There is currently no treatment or vaccine available for the virus. 
"
17,"The orchid which blooms in mid-April every year, according to locals, symbolizes that love. 
"
18,"Two Twitter accounts are a constant source of insightful photographs of World War II in Asia.
"
19,"Many of us were bemused by the decision of ministers of government Richard Sealy and John Boyce to bath in the shitty waters of the South Coast in order to convince a suspicious public that all was well. 
"
20,"“How are you living in one room?” 
"
21,"Considering the love Bengalis have for their cuisine, it comes as no surprise that they go the extra mile for their wedding celebrations. 
"
22,"Many students know Zara as an important Filipino scientist, but only few remember that one of his inventions was an early prototype of a gadget that we came to know as a videophone. 
"
23,"Last year, we were able to use water from there until March.
"
24,"Rickshaw art.
"
25,"GV: But do you think that we are close to the day when we could live in those environments? 
"
26,"However, if you allow restricted screen time with quality content, experts have found that kids can develop some good skills.
"
27,"The graffiti can be seen in Aurélio Fuga square, in Calmon Viana neighborhood in Poá, greater São Paulo. 
"
28,"Nepal’s southern plains are famous not only for fertile agricultural land but also for the dense forests and a plethora of wild animals.
"
29,"The Union of Press Workers (in Spanish, the SNTP) reported that Luis Carlos had been detained by the Bolivarian Intelligence Forces (SEBIN): 
"
30,"- he isn't answering calls 
"
31,"The Irrawaddy’s photographer Zaw Zaw got to the top of Mandalay Hill early on January 12, 2016, to await the rising sun.
"
32,"In a brief conversation, he told Global Voices:
"
33,"@sanchayan @hankypanty I can hear CHU CHU TV SURPRISE! !
"
34,"On 13 March 2018, Indian Prime Minister Narendra Modi launched an ambitious campaign to eradicate TB from India by 2025. 
"
35,"Finally, Gyani Maiya showed us her barn. 
"
36,"The New Road leading to the Kathmandu Durbar Square in the heart of Kathmandu was really new with very few vehicles around. 
"
37,"The outrage was swift on the Malagasy web.
"
38,"“Now in East Sumba we have every form of renewable energy. We have solar, wind, water and biogas,” says Daniel Lalupanda, chief of the local governmental Energy and Mining Division in East Sumba, through a translator.
"
39,"That includes, especially, knowing nothing real about the history of the United States. —
"
40,"Group of Three-Spot Grass Yellow. Photo by Susheel Shrestha. Used with permission. 
"
41,"He added on Facebook: I finished this white butterflies art installation yesterday at the CGIS building (Center for Government and International Studies) ~ Harvard.
"
42,"In 2015, Hala Yousef, the Minister of Population in Egypt, reported that out of all marriages in Egypt, 15% are child marriages. Although the age of marriage increased to 18 in 2008, the practice continues to be a phenomenon across the country, and especially in poorer regions. 
"
43,"His visits allowed him to recall his childhood while enjoying the quaint beauty of his birthplace. 
"
44,"Ranjit Warrier RW: I'm doing a lot of implementation work currently, supporting the Zambian national ART programme with Laboratory testing. I am just starting a research programme in Molecular Diagnostics development for HIV, TB, and other pathogens of interest. 
"
45,"Since the words are already being stretched , wasn't the intent to say ""hopeless countries""? 
"
46,"Most of them are scattered over thousands of villages, from north to south of the national territory, located in the 715 Indigenous Lands already regularized and formally recognized by the federal government. 
"
47,"Could you please say more about the harassment of women in Egypt? 
"
48,"A one-of-a-kind wind turbine 
"
49,"How much does the news media cover scientific advances in Latin America? The bloggers at the online project Ciencia latina (""Latin Science"") say it's not enough. As much in the regional media as in the international, the presence of Latin America in the world better known as scientific progress is still limited. News of corruption and government changes abound, but you don't hear much about the new observations made by Chilean astronomers, or the study in Yucatán, Mexico, that is bringing us closer to the causes of the dinosaurs' disappearance. 
"
50,"Wall of Kindness in Peshawar.
"
51,"In order to promote this common cultural practice, four organizations and cultural institutions from Macedonia, Bulgaria, Romania and Serbia have launched the ‘Happy Grandma March Day 2016’ project.
"
52,"According to Jayaraman, the project is not only imprudent, but could also lead to corporate control of public water sources: 
"
53,"The Spanish-language website Sopitas published the news like this, using an interesting wink at the possible existence of parallel universes: 
"
54,"Can you believe, in our country there may be 50 million menstruating women. But only two or three female sanitary products are ""made in Bangladesh"" and their quality is not up to mark! Whose negligence is it? 
"
55,"Kepha’s story will resonate with many small-scale farmers across Africa, Latin America and Asia. 
"
56,"Abu Nasser has created a 200-square-meter (2,000-square-foot) micro-farm using a hydroponic system and homemade organic pest-control solutions consisting of garlic, pepper, soap and more. 
"
57,"The ANU Library has supplied captions to the photos.
"
58,"Sherpa mountain guide Kami Rita Sherpa summited Mount Everest, the highest point on Earth, for the 22nd time, leaving behind Apa Sherpa and Furba Tashi Sherpa who have done it 21 times each. This is a world record. 
"
59,"1 – What is the Russian flag doing on our satellite? 
"
60,"Susheel Shrestha, a freelance photographer, has captured more than 150 species of butterflies found in Nepal from the lowlands to a height of 3810 meters in Upper Mustang. 
"
61,"But neighbors and family members frowned on the girls’ musical inclinations and eventually, her family encouraged her to marry and have children as is the tradition within Zanzibar, an archipelago where most families follow conservative Islamic customs: 
"
62,"At a local running club, girls here take turns telling me why they like running, and what Rai told them the day she visited their club. 
"
63,"The temple was completely destroyed by the earthquake.
"
64,"While the government introduces new changes to school schedules, extending the winter break in order to reduce consumption of heating, an experimental school in the south of Kyrgyzstan has taken a different approach to saving energy. 
"
65,"Screenshot from YouTube Video 
"
66,"How El Niño Is Affecting the Upland Areas of Myanmar &middot; Global Voices
"
67," He has also worked as an educator and promoter of the creation of citizen media spaces and independent media projects. 
"
68,"Dancing Girls At Court Of Rewa, East Central India, 1863–8.
"
69,"He has long worked with Soto producing web-based video and radio programs focused on politics and human rights in Venezuela.
"
70,"Questions about why death toll and damage were so severe 
"
71,"Unlike many commercially-oriented channels that upload videos about tourist hotspots, the kappa2700s channel one distinct feature: it has no commentary. Instead, the video features quiet strolls around popular tourist landmarks. 
"
72,"A used bookstore in Fukui, Japan. Photo by Nevin Thompson. 
"
73,"A Russian project called Ostagram allows Internet users to combine photos and works of art to create fantastical images that wouldn't be out of place in the world of Alice in Wonderland or in a sci-fi space opera.
"
74,"While the debate continues, let’s take a glimpse of the Swasthani Vrata Katha and Madhav Narayan festival through the lenses of photographers Sunil Sharma and Archana Shrestha. 
"
75,"Image taken from this tweet by @MonedasColombia. 
"
76,"As I immersed myself in the history of film, my focus shifted to Third Cinema, the movement for revolutionary filmmaking from globally marginalised countries that emerged in the 1960-70s in Africa, Asia, and Latin America. 
"
77,"Photo:author. Used with permission. 
"
78,"Young boys hold vegetables grown using permaculture principles. Photo courtesy Permacultuur in Commewijne, used with permission. 
"
79,"Everest summiteer Alan Arnette, in his blog Summits Don’t Matter, wished, for the good of the country, that it were different: 
"
80,"The main ropes are then extended across the river. 
"
81,"A post shared by JUSTICE FOR ZAINAB (@justiceforzainab2018) on Jan 10, 2018 at 2:29pm PST 
"
82,"In Nepal, old rule the country;
"
83,"As much in the regional media as in the international, the presence of Latin America in the world better known as scientific progress is still limited.
"
84,"Must be without a system… 
"
85,"The television set was a rare item in the 1980s.
"
86,"By Flickr user Jan Persiel. Uploaded on September 22, 2013. 
"
87,"(Tama City News) A platform has been installed below a swallow's nest to catch dropping (at Keio Wakabadai Station). 
"
88,"They are pinned on clothes, tied around wrists, then hung on trees, until the first flowers of the season appear.
"
89,"The Egyptian Hijacker has been declared as ""mentally unstable"" rather than a ""Muslim terrorist"" #First — عُمر (@OmarImranTweets) March 29, 2016
"
90,"Photo by Zaw Zaw / The Irrawaddy
"
91,"Why pilgrims from India and Nepal throng to see an orchid that blooms in April &middot; Global Voices 
"
92,"JE: Pump-N-Spray was born from frustration: the annoyance of bucket bathing every night because of water restrictions, a back-breaking chore I was introduced to on my grandfather’s farm decades prior.
"
93,"Dear Tanzanian Cinephiles, Your Local Film Industry Needs Your Support &middot; Global Voices 
"
94,"Winter has started in Japan.
"
95,"The Delhi government has decided to reintroduce the Odd-Even nameplate traffic rule from 8 am to 8 pm in the national capital from November 13-17. Under this rule, private vehicles are allowed to run based on the last number of their license plates. 
"
96,"Throughout history, walls have been a symbol of separation, segregation, and division. However, a new phenomenon called “walls of kindness” (Deewar-e-Meherbani) is doing just the opposite. Faced by cold weather, Iranians began outdoor charity drives for the homeless and needy by building ""walls of kindness.""
"
97,"377 is arbitrary. 
"
98,"The launch of ballistic missiles. Photo: Abstract Stories / Vkontakte 
"
99,"Compared with the huge sums of money paid by climbers for the privilege of climbing Everest, Sherpas are paid nominally for their expertise - the lion's share of the money is divided between the tour companies and the Nepalese government. 
"
100,"Another bridge in Green River, Clarendon under threat. It's main link between Frankfield southern parts such as May Pen
"
101,"Sign: Welcome back, swallows! Tweet: We wanted to the swallows to build a nest, and when we installed this nest and created this poster, sure enough, they decided to nest! 
"
102,"Walls of Jardim Britânia school.
"
103,"There’s no escape from the weather either.
"
104,"This was the scene of a typical wedding in Dhaka many years ago. 
"
105,"I caught up with Mozambique-born musician Deodato Siquir before the jam session at the café.
"
106,"Digital journalist Luis Carlos Diaz is missing in Venezuela  
"
107,"Many of the houses do not have electricity to run affordable cooling devices, such as ceiling fans.
"
108,"— Mahesh Bhatt (@MaheshNBhatt) July 28, 2016
"
109,"How Myanmar Residents Are Coping Up With Rising Temperatures Caused by El Niño 
"
110,"When I ask Shreesha what keeps her going, her answer is straightforward. 
"
111,"Shankarshan Thakur, Delhi-based editor of The Telegraph tweeted:
"
112,"Vasilka Dimitrovska is the co-founder of HAEMUS – Center for Scientific Research and Promotion of Culture, which is one of the sponsors of the Happy Grandma March Day 2016. 
"
113,"In the 15 years he’s lived in Scandinavia — including seven in Copenhagen — he has built up a large network of friends and supporters.
"
114,"People with nothing more than a Kilimanjaro summit will claim to have the proper experience – until something goes wrong. 
"
115,"Now the butterflies have travelled across the globe, where they have been widely photographed. 
"
116,"Last year, the prime minister suggested that there might be another location, but there has been no confirmation of this, so far. 
"
117,"It felt like a legend in yesteryears. I saw a woman conducting her month long Swasthani fast inside a cave. 
"
118,"In Trinidad and Tobago, the most southerly islands in the Caribbean archipelago, the virus has been declared a national health emergency. 
"
119,"The involvement of the local communities and counselors (particularly in public health research) is both encouraging and critical to a project's success. Some of the areas that research should/could focus include infectious disease prevention and treatment, mental health awareness and treatment, maternal and child health and prevention of mortality, sustainable economic development and the creation of local jobs by foreign and local employers. The education and support of local mentors and scholars will help foster the development of research in Africa. 
"
120,"By Monday, July 9, the multitude of disasters had been given an official name by the Japanese Meteorological Agency (JMA): 
"
121,"Across the Ahwaz region, in cities like Falahiyeh, Muhammarah and Abadan, massive plantations of palm trees whose produce was famed across the Middle East have either been deliberately destroyed or simply left to wither. Also at serious risk are the region’s flora and fauna, as the Falahiyeh wetlands and the Hor-Azim wetlands are almost completely destroyed. 
"
122,"His butterflies were seen with children, adults, elders and activists coming together in Brussels to save a park, for instance. The white butterflies at a park in Brussels.
"
123,"A June earthquake in Osaka that left five dead set the stage for a record-breaking season of typhoons and extreme flooding and destructive storms that battered much of western Japan over the course of three months. 
"
124,"Bugaeva's finished dictionary was presented to a group of Ainu community members in Tokyo at the Ainu Cultural Center (which itself has online resources dedicated to transmitting the Ainu language) in February 2009.
"
125,"According to the report, Ahwaz’s average Air Quality Index score was 372—the global average is around 71—or “Hazardous”. It was the only city on the list with an average value above 300. Reporting on the situation at the time, the Unrepresented Nations and Peoples Organization (UNPO) wrote that “contributing factors include desertification caused by river diversion and the draining of the marshes and the oil, petrochemical, metals and sugar and paper processing plants in and around Ahwaz.” 
"
126,"Watchcut has added Japan to its ongoing video series ""100 Years of Beauty,""(100 Years of Beauty) providing a fascinating look at how beauty trends for women have changed in Japan over the last century. 
"
127,"In ten years, Sharma hopes to see no need for the organization that she's fought so hard to establish.
"
128,"The account China in WW2 focuses on the war in China that started in September 1931 with Japan's annexation of Manchuria.
"
129,"Rai knows that sports alone won’t change things in Nepal’s conservative society — especially in the rural areas. 
"
130,"Graffiti from Caroline Luz (Caluz) in Jaçanã neighborhood. Photo by Aline Kátia Melo/AMural Agency 
"
131,"With this in mind, reporters from Agência Mural compiled the best of street art in their respective neighborhoods &#8212; in Brazil they're called quebradas &#8212; all located in lower-income neighborhoods.
"
132,"Men and women from Hindustan (India) (1823 - 1838) Andrea Banerjee's photos. Photo from The New York Public Library Digital Collections.
"
133,"Rickshaws rule here as the fare is comparatively low. 
"
134,"When I started the work, some of the companies in the United States they came to know that, they were offering a lot of money. They wanted the technology to be given to them, but I said no, we are not giving like that. 
"
135,"If the guy can catch the girl, then he will kiss her.
"
136,"Local media outlet Kloop.kg recently covered the story of another rural innovator, Beshenbei Saadabaev, who created a cheaper, simpler contraption following years of power outages in his village.
"
137,"Others have posted photographs of themselves demanding justice for Zainab: 
"
138,"During the day, balloons are launched and a fairground runs at the site of the festival—a field on the outskirts of the mountaintop town of Taunggyi. 
"
139,"Waiting for the level crossing gates to pull back up gives some a chance to observe their surroundings more closely. 
"
140,"Although it originated in tropical America (in the land between Mexico and Peru), today it is one of the important fruit crops of Bangladesh, where it's grown all over the country.
"
141,"A video posted by the facebook page Realidade Simulada gives an aerial view of the museum as it was before the fire: 
"
142,"This is as seen from above just few minutes before landing.Wonder how do pepple even breathe,live and survive here everyday!
"
143,"Girls in a drop-in-centre (shelter home) in Dhaka, run by an NGO called Oporajeyo Bangladesh, are making their own pads by hand with a cost of only 4.50 taka (US $0.06).
"
144,"The History of Royal Hunts in Nepal’s Southern Plains Is Simply Barbaric
"
145,"But she felt uninspired by the work, and decided to branch into film.
"
146,"Atghor, Swarupkathi, Bangladesh | 2015©Md.
"
147,"This has to stop. 
"
148,"According to Playing for Change: This video features over 75 musicians across the country of Colombia.
"
149,"""I prefer to take calls before I actually agree to a meeting because I don’t want people to judge me by my age or appearance.""
"
150,"In the years since the project began Sumba has managed to electrify more than half of the island.
"
151,"Both projects are a “labor of love,” he told TJournal.
"
152,"Nurseit said a large sum of money and a championship title were at stake, but he didn't want to win them by beating a fellow Kazakh. ""I met Gabit after the fight at the banquet. We shook hands and that was it,"" he said. 
"
153,"GV: Where does the funding and support come from? Is it sufficient? 
"
154,"This will help the poor.
"
155,"We see campaigns across the country to increase awareness among women to use hygienic sanitary pads, but there is no affordable and good quality pad in the country. It seems nobody is interested to provide affordable or free pads to every women in this country. 
"
156,"Fogging and spraying of residential communities, which has not been as widespread as is needed to keep the mosquito population at bay, will also be on the increase. The country's health minister has given instructions that during the country's Carnival season, all the major event venues will be sprayed, though he stopped short at screening visitors for the virus at ports of entry, saying it was not a feasible proposition. 
"
157,"Besides Gyani Maiya, her sister Kamala, in her early 50s, is another fluent speaker of the language from their community. 
"
158,"Meanwhile, the World Health Organisation has announced that the Zika virus constitutes a global health emergency: 
"
159,"Not fun: very necessary.
"
160,"Photo taken from the Flckr account of SantiagoNostalgico under Creative Commons licence. 
"
161,"There’s no escape from the weather either. 
"
162,"Used with permission
"
163,"Verena came to visit my studio and took 500 white butterflies with her. 
"
164,"She then unpacked a tangled bulk of cords. 
"
165,"There is also the question about managing pads. Regarding proper management of sanitary napkins, Kathy Walkling, together with the All India Women's Group, Ecofem, started the manufacture of bio-degradable sanitary pads. It produces Fair Trade Cloth sanitary napkin in India and exports to 14 countries in the world. Other organizations have started making cheap compostable pads in India, such as the Aazadi Pads and the Anandi Pads.
"
166,"Meet the Filipino Scientist Who Invented the Videophone in 1954 
"
167,"He worked as a professional guide for Seattle's Commercial Building Company Mountains for Alpine Essence International at Seattle. He is currently affiliated with a Seventh Summit Trek in dozens of companies giving regular services related to the Sagarmatha Arohan operated by the Nepali people.
"
168,"Photo: Marina Sadikoska/OhridSOS, used with permission.
"
169,"A flower that blooms only on the New Year 1st of Baishakh at the historical and ancient garden located in the south of Siraha’s Padariya Chowk on the East-West Highway. The orchid blooms on the haram tree in the Salahesh Garden early in the morning and wilts in the evening. Photo: RSS 
"
170,"""The things I saw in the ward left me forever changed.
"
171,"If a large number of the population is being held back because of a problem which is often ignored then it affects the whole population.
"
172,"""So I'm not really forcing , I'm just offering this opportunity and if people are ready, they can participate."" 
"
173,"“You don’t even have a house to live in,” they say.
"
174,"Photo: National Academy of Science and Technology Philippines / Facebook This is neither an April Fools’ joke nor a viral Internet hoax.
"
175,"Flooding in Kurashiki, Okayama in western Japan. Screencap from NHK World-Japan. 
"
176,"According to a 2011 survey by AC Nielsen, only 12% of India's 355 million menstruating women &#8212; compared to 88% in Japan, 64% in China and nearly 100% in Singapore and Japan &#8212; use sanitary napkins, with 70% of women saying their family can't afford to buy them.
"
177,"As of March 2, Dzodan was set to be released following a statement by a higher judge who called the extreme measure of imprisonment “hurried.” 
"
178,"Author Jonathan M. Katz, who has written a book documenting the United Nations response to the 2010 earthquake that devastated Haiti, explained that Haiti's standard of living is lower than that of the U.S. as a direct result of historical American policies towards the Caribbean country: 
"
179,"Jardim Brasil, northern São Paulo 
"
180,"Citizen Lab director Ron Deibertcalled it “either shoddy design or it’s surveillance by design.”
"
181,"This story was reported by Nathália Clark of 350.org, an organization building a global grassroot climate movement, and it is published here as part of a partnership with Global Voices. 
"
182,"Wow, it's the Red Rapide (at the level crossing near my house)! 
"
183,"Photo taken from Chai-Khana.org. 
"
184,"But there are also people who are doing something about it.
"
185,"This new campus is special because it is the first private construction project in Central Asia that is clean green all the way – that means geothermal heating and cooling, state-of-the-art sewage, irrigation systems, and the highest standard of energy efficiency in the entire region. 
"
186,"But there have been other instances in the country where killings motivated by dark magic have been reported, particularly affecting albino people. The situation became so dire that the United Nations was compelled to conduct a mission in 2016 to investigate the practice in the Southeast African nation. 
"
187,"Two digital journalists based in Makassar, in the region of South Sulawesi, Indonesia were attacked on June 5, 2016, while attending an event held by Makassar branch of Islamic Students Alumni (KAHMI Makassar) at Makassar mayor's house. 
"
188,"Wind energy remains relatively untapped in Kyrgyzstan, even though it could cover up to 7% of the energy needs of rural communities that make up over half of the country's total population.
"
189,"Global Voices interviewed American free culture activist and filmmaker Nina Paley about her new animated film ""Seder-Masochism."" It is loosely based on the Book of Exodus from the Torah/Bible and exposes the veiled patriarchy in the religious text. 
"
190,"Next up: China
"
191,"This South Asian mixed rice dish has its origins among the Muslims of the Indian subcontinent. 
"
